Name,IGN,No. of Match,Total Rounds,Won Rounds,Lost Rounds,ACS,ADR,Total Kills,Total Deaths,Total Assist,Avg K/D,Kills/Rounds,Avg Kast %,Avg HS%,Win %,First Kills,First Death,Multi Kills,First Kill Average,First Death Average,Multi Kills Average,Discord,Twitter,RR
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
,#N/A,0,0,0,0,,,0,0,0,,#DIV/0!,0.0,0.0,#DIV/0!,0,0,0,,,,#N/A,#N/A,#N/A
